   2.6528091e-01   4.7092426e-01
   8.2437627e-01   6.9594931e-01
   9.8266340e-01   6.9988785e-01
   7.3024879e-01   6.3853076e-01
   3.4387700e-01   3.3603836e-02
   5.8406933e-01   6.8806099e-02
   1.0776902e-01   3.1959974e-01
   9.0630815e-01   5.3086428e-01
   8.7965372e-01   6.5444571e-01
   8.1776056e-01   4.0761920e-01
   2.6072800e-01   8.1998122e-01
   5.9435625e-01   7.1835894e-01
   2.2512593e-02   9.6864933e-01
   4.2525932e-01   5.3133391e-01
   3.1271889e-01   3.2514568e-01
   1.6148474e-01   1.0562920e-01
   1.7876619e-01   6.1095866e-01
   4.2288569e-01   7.7880224e-01
   9.4229339e-02   4.2345292e-01
   5.9852367e-01   9.0823286e-02
